grupo;tipo;confianca;motivo;similaridade_base;id;nome;marca;codigo_ref;ean;ncm;estoque_atual;estoque_min;preco_ou_valor;codigo_servico;criado_em;MARCAR_DUPLICADO_SIM_NAO
P026;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;847038ad-13b8-4924-afaf-a4aad13e3976;Filtro de combustível ;Sem Marca;;;;-2;0;0;;2026-05-20T15:07:06.009684+00:00;
P026;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;64e0609e-5f9d-4bb9-aac7-181ff701c094;filtro de combustível;Sem Marca;;;;-2;0;0;;2026-04-28T20:04:36.883011+00:00;
P028;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;8c24eeaa-8ef0-4d74-ad9d-919fed33f659;Abraçadeira p;Sem Marca;;;;-1;0;0;;2026-05-28T12:12:22.441862+00:00;
P028;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.917;38434b0a-1371-40d2-a741-12cb53d3f9a3;abraçadeira;Sem Marca;;;;-1;0;0;;2026-07-17T19:02:08.52703+00:00;
P030;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;5831d69b-cd08-4e70-9ac9-bf3171373c8a;Retentor comando de valvula ;Sem Marca;;;;-2;0;0;;2026-05-14T19:57:35.992123+00:00;
P030;PRODUTO;ALTA;nomes praticamente idênticos;0.931;2155ba42-a23e-4d51-b496-f351098d358f;RETENTOR DE COMANDO VALVULA;Sem Marca;;;;-1;0;0;;2026-07-13T18:48:48.868821+00:00;
P032;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;b9547fa7-cca9-4378-8fdc-b4d3964e4852;Cola silicone ;Sem Marca;;;;-1;0;0;;2026-05-28T12:14:03.52722+00:00;
P032;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;f93b516d-3069-4f13-8db9-b1546eb02733;COLA SILICONE;Sem Marca;;;;-1;0;0;;2026-07-16T19:38:39.742772+00:00;
P034;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;b6b5b1c6-56a6-4c52-95f5-42f9bb85f0d3;Radiador;Sem Marca;;;87089100;-2;0;0;;2026-05-29T18:08:13.12618+00:00;
P034;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;f98add90-5e09-4161-988c-ff2073231a01;RADIADOR ;Sem Marca;;;;0;0;0;;2026-07-17T17:37:37.339276+00:00;
P034;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;3cb40a31-290b-44f4-88bd-a963df58e07b;RADIADOR ;Sem Marca;;;;0;0;0;;2026-07-17T17:37:42.517913+00:00;
P037;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;9a292e34-398e-48e2-b5c1-b10e7a71be6d;mangueira de silicone 5mm int;Sem Marca;;;;-1;0;0;;2026-04-28T20:09:25.182747+00:00;
P037;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;ad7d0d83-48d1-4b1b-985f-1eeaa6a35b53;mangueira de silicone 5mm int;Sem Marca;;;;-1;0;0;;2026-04-28T20:09:34.533263+00:00;
P039;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;65e0cae5-7ae5-4fe9-bea9-af2ea2100c07;Disco de Freio Dianteiro;Sem Marca;;;;0;0;0;;2026-04-29T17:49:18.942082+00:00;
P039;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;489084c4-ffb1-422e-92f1-41f627c7014e;DISCO DE FREIO DIANTEIRO;Sem Marca;;;;-1;0;0;;2026-08-10T14:53:45.997096+00:00;
P041;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;239f6230-4bd5-44c1-948b-4be67790ab90;Jogo Pastilha Freio Dianteira;Sem Marca;;;;-1;0;0;;2026-04-29T17:51:14.304823+00:00;
P041;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;533d0fce-ec6f-4994-bb3c-dccea48846b4;Jogo Pastilha Freio Dianteira;Sem Marca;;;;0;0;0;;2026-04-29T17:51:21.076215+00:00;
P043;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;fb95390f-9e8e-42c5-8d9c-1d86a758ffbb;Óleo Motor 5W30;Sem Marca;;;;-1;0;0;;2026-05-06T18:01:59.43106+00:00;
P043;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;0f84b978-e563-4054-99f5-95e690151bf7;Óleo motor 5w30;Sem Marca;;;;-1;0;0;;2026-05-26T19:09:44.13638+00:00;
P043;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;90193859-7ed8-43ed-bce3-1f1a36ac4d63;OLEO MOTOR 5W30;Sem Marca;;;27101932;-1;0;0;;2026-07-20T17:49:22.362888+00:00;
P046;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;248efeff-56f9-4b4b-96d4-2f0c83f96307;RETENTOR VIRABREQUIM DIANTEIRO;Sem Marca;;;;-1;0;0;;2026-07-09T13:25:32.051709+00:00;
P046;PRODUTO;ALTA;nomes praticamente idênticos;0.952;823ab6e2-b2ad-4f61-8257-1bd7845d75e8;RETENTOR DIANTEIRO VIRABREQUIM;Sem Marca;;;40169300;-1;0;0;;2026-07-24T20:21:26.002206+00:00;
P048;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;9e807dd1-b8db-45ee-9293-55ca3d6c583e;CABO DE VELA;Sem Marca;;;85443000;-2;0;0;;2026-07-14T20:28:51.139055+00:00;
P048;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;0157a176-4fe7-408f-8a46-35c607f29936;CABO DE VELA ;Sem Marca;;;85443000;-1;0;0;;2026-08-12T14:45:05.902192+00:00;
P050;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;bfcc03fc-1ca0-49b5-8af1-914d40c7562a;SOQUETE 3 POLOS;Sem Marca;;;;0;0;0;;2026-07-17T18:11:27.02257+00:00;
P050;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.914;1132071f-2dcd-45de-a0c7-252ec0e62e55;SOQUETE 2 POLOS;Sem Marca;;;;0;0;0;;2026-08-07T14:17:48.547262+00:00;
P052;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;b74f5924-a664-4f89-bfba-b189011b0ec4;SOQUETE 3 POLOS - SINALIZAÇÃO PISCA LD;Sem Marca;;;;0;0;0;;2026-07-17T18:12:29.496995+00:00;
P052;PRODUTO;ALTA;nomes praticamente idênticos;0.960;00f37fd8-6782-44e4-bb99-c266855a5a31;SOQUETE 2 POLOS - SINALIZAÇÃO PISCA LD;Sem Marca;;;;-1;0;0;;2026-07-17T18:16:39.869663+00:00;
P054;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;c5391176-3bb4-4a91-8e90-f429ccd03ace;"PARAFUSO 8MM ""1,5""";Sem Marca;;;;-1;0;0;;2026-07-27T20:22:13.270756+00:00;
P054;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.914;36e095af-c2e6-43c0-b97b-827450cc5a9b;"PARAFUSO 8MM ""2,5""";Sem Marca;;;;-1;0;0;;2026-07-27T20:22:30.708607+00:00;
S056;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;d126dc1e-e616-49cb-98a4-d44e1ec0a893;Mdo;;;;;;;0;;2026-04-24T15:13:50.534805+00:00;
S056;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;c13754e1-75f4-4b50-9690-d2d173baca01;Mdo  ;;;;;;;0;;2026-05-14T19:52:29.967534+00:00;
S058;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;f2c0ab46-6c8a-4122-9232-e25821ac75c6;troca de óleo;;;;;;;0;;2026-04-28T22:17:55.153334+00:00;
S058;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;3f179744-08e3-4bf2-8753-71357f0295f2;Troca de oleo;;;;;;;0;;2026-05-11T14:16:08.440776+00:00;
S060;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;946bb62a-3d4d-4b59-90e7-e658686d33b3;Mão de Obra: Retirar Prisioneiro e Troca de oléo Cambio;;;;;;;0;;2026-05-06T17:24:21.06211+00:00;
S060;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;c8ae6182-3a9e-4a07-91dc-f78dbf319d8d;Mão de Obra: Retirar Prisioneiro e Troca de óleo Cambio;;;;;;;0;;2026-05-06T17:24:44.98933+00:00;
S062;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;db09a477-1d2f-4407-b50f-e0b5eada374f;Mão de Obra;;;;;;;0;;2026-05-07T17:06:29.203974+00:00;
S062;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;a0a1b336-fb2b-421b-a07e-bd5329031170;MÃO DE OBRA ;;;;;;;0;;2026-07-15T12:42:39.436769+00:00;
S062;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;1f11a338-8d3c-4239-96ac-ffc575271bb1;MAÕ DE OBRA;;;;;;;0;;2026-07-30T17:08:34.41658+00:00;
S065;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;d7137f87-c439-4016-96bb-a6f0e0642e45;MAO DE OBRA CABECOTE;;;;;;;0;;2026-06-30T21:49:35.591841+00:00;
S065;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;f6ea696a-cfc4-4eda-86f5-676ede677488;MÃO DE OBRA CABEÇOTE;;;;;;;0;;2026-07-29T13:26:53.12607+00:00;
S067;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;d818561f-99dd-4e29-94d0-ddfd454b3854;MÃO DE OBRA + SANGRIA ;;;;;;;0;;2026-08-03T20:54:22.338829+00:00;
S067;SERVICO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;febb49c5-db04-41a3-bf05-a773d687079d;MAO DE OBRA - SANGRIA;;;;;;;0;;2026-08-05T12:43:08.766795+00:00;
