grupo;tipo;confianca;motivo;similaridade_base;id;nome;marca;codigo_ref;ean;ncm;estoque_atual;estoque_min; preco_ou_valor ;codigo_servico;criado_em;MARCAR_DUPLICADO_SIM_NAO
P022;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.864;1a90280c-63ae-43e6-a171-bdd27a083ccf;VALVULA TERMOSTATICA REN;;;90306327;84818021;1;5; R$ 441,00 ;;2026-08-05T19:27:30.232971+00:00;
P026;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;3f01d46f-cbd6-411c-94a2-757593a6e06a;Lampada H4;Sem Marca;;;;-1;0; R$ -   ;;2026-04-29T12:23:16.82569+00:00;
P026;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;8524a57e-45ca-4958-bd6f-833c36146b3c;LAMPADA H4;BILUX;641993;;;1;1; R$ 140,00 ;;2026-06-29T13:15:26.708284+00:00;
P028;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;3c57e86c-264a-454f-8497-c0b7400ab247;Óleo 10W40;Sem Marca;;;;2;0; R$ -   ;;2026-05-07T13:29:38.044666+00:00;
P028;PRODUTO;BAIXA;"candidato por semelhança; revisar com atenção";0.000;d933f5c8-3a58-44e9-91c3-6042b4c756c8;FLUIDO DE FREIO DOT 3;Sem Marca;404;;;-1;1; R$ 119,00 ;;2026-05-28T18:42:05.885475+00:00;
P028;PRODUTO;BAIXA;"candidato por semelhança; revisar com atenção";0.000;b20b5250-93c8-4a81-a207-4582e0123a28;FLUIDO DE FREIO DOT3;VARGA;1111;;;18;5; R$ 87,50 ;;2026-06-29T13:59:18.994308+00:00;
P028;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;2e57de36-7f77-4a96-95bb-2ae8fa759990;OLEO 10W40;Sem Marca;1111;;;-3;1; R$ 175,00 ;;2026-04-29T20:01:15.096382+00:00;
P032;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;ae605438-fa22-4bf5-ba5f-44452f6863b7;Jg de parafuso cabeçote ;Sem Marca;;;;-1;0; R$ -   ;;2026-05-14T19:53:20.253535+00:00;
P032;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;e91ba3c0-ca94-4d0f-bece-0be86125c4a4;JOGO DE PARAFUSO - CABEÇOTE ;Sem Marca;;;73181500;-2;0; R$ -   ;;2026-06-30T18:44:05.403705+00:00;
P034;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;0a2cbdf3-ac45-45f6-b14b-011e62caba72;Óleo 80w90 Câmbio;Sem Marca;;;;-1;0; R$ -   ;;2026-05-18T19:43:51.301201+00:00;
P034;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;44651462-e902-43ee-a167-4c4a1383adb3;OLEO 80W90 CAMBIO;Sem Marca;;;;2;0; R$ -   ;;2026-07-29T13:08:04.593609+00:00;
P036;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;01617e0d-e2b4-4525-a9fa-3092f7419d46;Rolamento Esticador;Sem Marca;;;84821010;-2;0; R$ -   ;;2026-05-25T18:02:39.895953+00:00;
P036;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;647af989-e495-41a4-bf44-7d9898faf978;ROLAMENTO ESTICADOR ;GM;;;84821010;-4;5; R$ 131,25 ;;2026-07-06T13:40:58.82234+00:00;
P038;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;04fedfb6-c5b7-48e8-8495-a82a853b0a9c;LAMPADA MINIATURA 2 POLOS;GAUSS;202;;;7;1; R$ 52,50 ;;2026-06-29T13:13:00.414118+00:00;
P038;PRODUTO;ALTA;mesma referência/código;0.043;086e3df4-1256-4e7d-b492-8ee6968d3659;AGUA BI-DESMINERALIZADA;;202;;28539090;5;2; R$ 52,50 ;;2026-06-29T13:45:25.961713+00:00;
P040;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;17ad345e-cd96-47d2-b91b-15cc09a360a9;BUCHA ALAVANCA CAMBIO;;7626;;;0;1; R$ 40,00 ;;2026-07-01T13:49:03.806012+00:00;
P040;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;921be2d1-7867-4ad9-9913-b599ce767d82;BUCHA ALAVANCA CAMBIO;Sem Marca;;;;0;0; R$ -   ;;2026-07-01T13:47:14.484394+00:00;
P042;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;9aa0019d-8e7c-475a-babb-98a4aff6b19a;COXIM ESCAPE VW TRASEIRO ;MOBENSANI;77741;;;4;1; R$ 42,00 ;;2026-06-29T12:23:53.857589+00:00;
P042;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;98589f83-b47c-4bd6-bdf0-3ebbe9567239;COXIM ESCAPE VW TRASEIRO ;BORFLEX ;31900;;;1;1; R$ 60,00 ;;2026-06-29T12:40:08.490399+00:00;
P044;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;b6213670-44e4-4c5e-8ee8-c9fc79a4ed87;Correia alternador v;Sem Marca;;;;-2;0; R$ -   ;;2026-05-28T12:13:08.618161+00:00;
P044;PRODUTO;ALTA;nomes praticamente idênticos;0.944;f7af6bd3-0e5b-45ff-a987-712962d98754;CORREIA ALTERNADOR ;Sem Marca;;;;0;0; R$ -   ;;2026-07-27T20:23:38.628457+00:00;
P046;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;3721d26d-901e-4319-abfb-a5828fd464e8;KIT REPARO TRAMBULADOR;;60022;;;0;1; R$ 196,00 ;;2026-07-01T13:49:32.531254+00:00;
P046;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;2ac57d45-ad15-4c41-a246-9ca024f11565;KIT REPARO TRAMBULADOR ;Sem Marca;;;;0;0; R$ -   ;;2026-07-01T13:47:33.907868+00:00;
P048;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;dc5f40fd-9f0a-4f8f-bf6e-955341ad2ef0;BATERIA 60AMPER;MOURA;;;;-1;1; R$ 697,50 ;;2026-07-02T13:48:29.78027+00:00;
